Produktivmandant                                                                              Line Items Extract                                                                             Time 16:46:26     Date  20.12.2024
Gütersloh         Ledger 0L                                                                                                                                                                  RFBPET00/RHUELITL Page           1

	CoCd	DocumentNo				Type		Pstng Date			Period	Year		Doc. Date	Entry Date		User Name		Reference
	BusA	Itm	PK	SG	Tx		PayT		AccTy	Account			D/C	      Amount in LC		Crcy		      Amount in FC		Crcy	D/C	   LC tax amount	Crcy	      Tax Amount	Crcy	Name 1	City	Short Text

	3800	900011369				RV		05.04.2018			     4	2018		05.04.2018	06.04.2018		SAPBTC_APPL		0082536700
		 25	50						S	3000127			H	-278.25		MXN		-15.22		USD
		 26	50		A0				S	4000602			H	-133,730.64		MXN		-7,315.00		USD
		 27	40						S	6601050			S	         1,337.31		MXN		            73.15		USD
		 28	50						S	3000127			H	-1,337.31		MXN		-73.15		USD
		 29	50		A0				S	4000602			H	-53,492.25		MXN		-2,926.00		USD
		 30	40						S	6601050			S	           534.92		MXN		            29.26		USD
		 31	50						S	3000127			H	-534.92		MXN		-29.26		USD
		 32	50		A0				S	4001402			H	-3,455.24		MXN		-189.00		USD
		 33	40						S	6601050			S	            34.55		MXN		             1.89		USD
		 34	50						S	3000127			H	-34.55		MXN		-1.89		USD
		 35	50		A0				S	4001402			H	-4,837.34		MXN		-264.60		USD
		 36	40						S	6601050			S	            48.45		MXN		             2.65		USD
		 37	50						S	3000127			H	-48.45		MXN		-2.65		USD
		 38	50		A0				S	4001402			H	-11,379.26		MXN		-622.44		USD
		 39	40						S	6601050			S	           113.71		MXN		             6.22		USD
		 40	50						S	3000127			H	-113.71		MXN		-6.22		USD
		 41	50		A0				S	4001402			H	-4,192.36		MXN		-229.32		USD
		 42	40						S	6601050			S	            41.87		MXN		             2.29		USD
		 43	50						S	3000127			H	-41.87		MXN		-2.29		USD
		 44	50		A0				S	4001402			H	-1,526.89		MXN		-83.52		USD
		 45	40						S	6601050			S	            15.36		MXN		             0.84		USD
		 46	50						S	3000127			H	-15.36		MXN		-0.84		USD
		 47	50		A0				S	4001402			H	-2,290.33		MXN		-125.28		USD
		 48	40						S	6601050			S	            22.85		MXN		             1.25		USD
		 49	50						S	3000127			H	-22.85		MXN		-1.25		USD
		 50	50		A0				S	4001402			H	-2,579.91		MXN		-141.12		USD
		 51	40						S	6601050			S	            25.78		MXN		             1.41		USD
		 52	50						S	3000127			H	-25.78		MXN		-1.41		USD
		 53	50		A0				S	4001402			H	-2,579.91		MXN		-141.12		USD
		 54	40						S	6601050			S	            25.78		MXN		             1.41		USD
		 55	50						S	3000127			H	-25.78		MXN		-1.41		USD
		 56	50		A0				S	4001402			H	-1,289.96		MXN		-70.56		USD
		 57	40						S	6601050			S	            12.98		MXN		             0.71		USD
		 58	50						S	3000127			H	-12.98		MXN		-0.71		USD

	3800	900011615				RV		07.04.2018			     4	2018		07.04.2018	08.04.2018		SAPBTC_APPL		0082537717
		  1	01		A0		R029		D	29060000			S	       681,767.74		MXN		        37,292.36		USD
		  2	50		A0				S	4000302			H	-68,245.59		MXN		-3,733.00		USD
		  3	40						S	6601050			S	           682.46		MXN		            37.33		USD
		  4	50						S	3000127			H	-682.46		MXN		-37.33		USD
		  5	50		A0				S	4001402			H	-76,977.66		MXN		-4,210.64		USD
		  6	40						S	6601050			S	           769.84		MXN		            42.11		USD
		  7	50						S	3000127			H	-769.84		MXN		-42.11		USD
		  8	50		A0				S	4000102			H	-123,870.95		MXN		-6,775.68		USD
		  9	40						S	6601050			S	         1,238.77		MXN		            67.76		USD
		 10	50						S	3000127			H	-1,238.77		MXN		-67.76		USD
		 11	50		A0				S	4000102			H	-29,554.93		MXN		-1,616.64		USD
		 12	40						S	6601050			S	           295.62		MXN		            16.17		USD
		 13	50						S	3000127			H	-295.62		MXN		-16.17		USD
		 14	50		A0				S	4000102			H	-206,884.49		MXN		-11,316.48		USD
		 15	40						S	6601050			S	         2,068.76		MXN		           113.16		USD
		 16	50						S	3000127			H	-2,068.76		MXN		-113.16		USD
		 17	50		A0				S	4000602			H	-80,238.38		MXN		-4,389.00		USD
		 18	40						S	6601050			S	           802.38		MXN		            43.89		USD
		 19	50						S	3000127			H	-802.38		MXN		-43.89		USD
		 20	50		A0				S	4001402			H	-4,192.36		MXN		-229.32		USD
		 21	40						S	6601050			S	            41.87		MXN		             2.29		USD
		 22	50						S	3000127			H	-41.87		MXN		-2.29		USD
		 23	50		A0				S	4001402			H	-2,290.33		MXN		-125.28		USD
		 24	40						S	6601050			S	            22.85		MXN		             1.25		USD
		 25	50						S	3000127			H	-22.85		MXN		-1.25		USD
		 26	50		A0				S	4001402			H	-2,579.91		MXN		-141.12		USD
		 27	40						S	6601050			S	            25.78		MXN		             1.41		USD
		 28	50						S	3000127			H	-25.78		MXN		-1.41		USD
		 29	50		A0				S	4001402			H	-763.44		MXN		-41.76		USD
		 30	40						S	6601050			S	             7.68		MXN		             0.42		USD
		 31	50						S	3000127			H	-7.68		MXN		-0.42		USD
		 32	50		A0				S	4001402			H	-1,289.96		MXN		-70.56		USD
		 33	40						S	6601050			S	            12.98		MXN		             0.71		USD
		 34	50						S	3000127			H	-12.98		MXN		-0.71		USD
		 35	50		A0				S	4001402			H	-1,289.96		MXN		-70.56		USD
		 36	40						S	6601050			S	            12.98		MXN		             0.71		USD
		 37	50						S	3000127			H	-12.98		MXN		-0.71		USD
		 38	50		A0				S	4001402			H	-67,689.09		MXN		-3,702.56		USD
		 39	40						S	6601050			S	           676.97		MXN		            37.03		USD
		 40	50						S	3000127			H	-676.97		MXN		-37.03		USD
		 41	50		A0				S	4001402			H	-4,146.29		MXN		-226.80		USD
		 42	40						S	6601050			S	            41.50		MXN		             2.27		USD
		 43	50						S	3000127			H	-41.50		MXN		-2.27		USD
		 44	50		A0				S	4001402			H	-4,146.29		MXN		-226.80		USD
		 45	40						S	6601050			S	            41.50		MXN		             2.27		USD
		 46	50						S	3000127			H	-41.50		MXN		-2.27		USD
		 47	50		A0				S	4001402			H	-4,791.27		MXN		-262.08		USD
		 48	40						S	6601050			S	            47.90		MXN		             2.62		USD
		 49	50						S	3000127			H	-47.90		MXN		-2.62		USD
		 50	50		A0				S	4001402			H	-763.44		MXN		-41.76		USD
		 51	40						S	6601050			S	             7.68		MXN		             0.42		USD
		 52	50						S	3000127			H	-7.68		MXN		-0.42		USD
		 53	50		A0				S	4001402			H	-1,289.96		MXN		-70.56		USD
		 54	40						S	6601050			S	            12.98		MXN		             0.71		USD
		 55	50						S	3000127			H	-12.98		MXN		-0.71		USD
		 56	50		A0				S	4001402			H	-763.44		MXN		-41.76		USD
		 57	40						S	6601050			S	             7.68		MXN		             0.42		USD
		 58	50						S	3000127			H	-7.68		MXN		-0.42		USD

	3800	900011651				RV		09.04.2018			     4	2018		09.04.2018	10.04.2018		SAPBTC_APPL		0082539266
		  1	01		A0		R002		D	29620500			S	         4,731.65		MXN		           261.30		USD
		  2	50		A0				S	4004102			H	-4,731.65		MXN		-261.30		USD

	3800	900011716				RV		09.04.2018			     4	2018		09.04.2018	10.04.2018		SAPBTC_APPL		0082539309
		  1	01		A0		R029		D	29060000			S	       832,367.79		MXN		        45,966.60		USD
		  2	50		A0				S	4001402			H	-168,075.05		MXN		-9,281.76		USD
		  3	40						S	6601050			S	         1,680.79		MXN		            92.82		USD
		  4	50						S	3000127			H	-1,680.79		MXN		-92.82		USD
		  5	50		A0				S	4001402			H	-756.19		MXN		-41.76		USD
		  6	40						S	6601050			S	             7.61		MXN		             0.42		USD
		  7	50						S	3000127			H	-7.61		MXN		-0.42		USD
		  8	50		A0				S	4000302			H	-67,597.54		MXN		-3,733.00		USD
		  9	40						S	6601050			S	           675.98		MXN		            37.33		USD
		 10	50						S	3000127			H	-675.98		MXN		-37.33		USD
		 11	50		A0				S	4001402			H	-32,378.73		MXN		-1,788.08		USD
		 12	40						S	6601050			S	           323.77		MXN		            17.88		USD
		 13	50						S	3000127			H	-323.77		MXN		-17.88		USD
		 14	50		A0				S	4000102			H	-122,694.69		MXN		-6,775.68		USD
		 15	40						S	6601050			S	         1,227.00		MXN		            67.76		USD
		 16	50						S	3000127			H	-1,227.00		MXN		-67.76		USD
		 17	50		A0				S	4000102			H	-28,978.75		MXN		-1,600.32		USD
		 18	40						S	6601050			S	           289.73		MXN		            16.00		USD
		 19	50						S	3000127			H	-289.73		MXN		-16.00		USD
		 20	50		A0				S	4000102			H	-146,371.39		MXN		-8,083.20		USD
		 21	40						S	6601050			S	         1,463.68		MXN		            80.83		USD
		 22	50						S	3000127			H	-1,463.68		MXN		-80.83		USD
		 23	50		A0				S	4000602			H	-79,476.45		MXN		-4,389.00		USD
		 24	40						S	6601050			S	           794.76		MXN		            43.89		USD
		 25	50						S	3000127			H	-794.76		MXN		-43.89		USD
		 26	50		A0				S	4000602			H	-158,952.90		MXN		-8,778.00		USD
		 27	40						S	6601050			S	         1,589.53		MXN		            87.78		USD
		 28	50						S	3000127			H	-1,589.53		MXN		-87.78		USD
		 29	50		A0				S	4001402			H	-4,791.40		MXN		-264.60		USD
		 30	40						S	6601050			S	            47.99		MXN		             2.65		USD
		 31	50						S	3000127			H	-47.99		MXN		-2.65		USD
		 32	50		A0				S	4001402			H	-3,422.43		MXN		-189.00		USD
		 33	40						S	6601050			S	            34.22		MXN		             1.89		USD
		 34	50						S	3000127			H	-34.22		MXN		-1.89		USD
		 35	50		A0				S	4001402			H	-4,745.77		MXN		-262.08		USD
		 36	40						S	6601050			S	            47.44		MXN		             2.62		USD
		 37	50						S	3000127			H	-47.44		MXN		-2.62		USD
		 38	50		A0				S	4001402			H	-2,966.11		MXN		-163.80		USD
		 39	40						S	6601050			S	            29.70		MXN		             1.64		USD
		 40	50						S	3000127			H	-29.70		MXN		-1.64		USD
		 41	50		A0				S	4001402			H	-2,268.58		MXN		-125.28		USD
		 42	40						S	6601050			S	            22.64		MXN		             1.25		USD
		 43	50						S	3000127			H	-22.64		MXN		-1.25		USD
		 44	50		A0				S	4001402			H	-3,024.78		MXN		-167.04		USD
		 45	40						S	6601050			S	            30.24		MXN		             1.67		USD
		 46	50						S	3000127			H	-30.24		MXN		-1.67		USD
		 47	50		A0				S	4001402			H	-2,555.42		MXN		-141.12		USD
		 48	40						S	6601050			S	            25.53		MXN		             1.41		USD
		 49	50						S	3000127			H	-25.53		MXN		-1.41		USD
		 50	50		A0				S	4001402			H	-1,277.71		MXN		-70.56		USD
		 51	40						S	6601050			S	            12.86		MXN		             0.71		USD
		 52	50						S	3000127			H	-12.86		MXN		-0.71		USD
		 53	50		A0				S	4001402			H	-756.19		MXN		-41.76		USD
		 54	40						S	6601050			S	             7.61		MXN		             0.42		USD
		 55	50						S	3000127			H	-7.61		MXN		-0.42		USD
		 56	50		A0				S	4001402			H	-1,277.71		MXN		-70.56		USD
		 57	40						S	6601050			S	            12.86		MXN		             0.71		USD
		 58	50						S	3000127			H	-12.86		MXN		-0.71		USD

	3800	900011998				RV		10.04.2018			     4	2018		10.04.2018	11.04.2018		SAPBTC_APPL		0082540636
		  1	01		A0		R029		D	29060000			S	     1,084,912.77		MXN		        59,913.12		USD
		  2	50		A0				S	4000302			H	-202,792.62		MXN		-11,199.00		USD
		  3	40						S	6601050			S	         2,027.93		MXN		           111.99		USD
		  4	50						S	3000127			H	-2,027.93		MXN		-111.99		USD
		  5	50		A0				S	4001402			H	-98,180.67		MXN		-5,421.92		USD
		  6	40						S	6601050			S	           981.82		MXN		            54.22		USD
		  7	50						S	3000127			H	-981.82		MXN		-54.22		USD
		  8	50		A0				S	4000102			H	-153,368.36		MXN		-8,469.60		USD
		  9	40						S	6601050			S	         1,533.76		MXN		            84.70		USD
		 10	50						S	3000127			H	-1,533.76		MXN		-84.70		USD
		 11	50		A0				S	4000102			H	-175,645.67		MXN		-9,699.84		USD
		 12	40						S	6601050			S	         1,756.49		MXN		            97.00		USD
		 13	50						S	3000127			H	-1,756.49		MXN		-97.00		USD
		 14	50		A0				S	4000602			H	-238,429.35		MXN		-13,167.00		USD
		 15	40						S	6601050			S	         2,384.29		MXN		           131.67		USD
		 16	50						S	3000127			H	-2,384.29		MXN		-131.67		USD
		 17	50		A0				S	4000602			H	-132,460.75		MXN		-7,315.00		USD
		 18	40						S	6601050			S	         1,324.61		MXN		            73.15		USD
		 19	50						S	3000127			H	-1,324.61		MXN		-73.15		USD
		 20	50		A0				S	4001402			H	-684.49		MXN		-37.80		USD
		 21	40						S	6601050			S	             6.88		MXN		             0.38		USD
		 22	50						S	3000127			H	-6.88		MXN		-0.38		USD
		 23	50		A0				S	4001402			H	-3,422.43		MXN		-189.00		USD
		 24	40						S	6601050			S	            34.22		MXN		             1.89		USD
		 25	50						S	3000127			H	-34.22		MXN		-1.89		USD
		 26	50		A0				S	4001402			H	-1,186.44		MXN		-65.52		USD
		 27	40						S	6601050			S	            11.95		MXN		             0.66		USD
		 28	50						S	3000127			H	-11.95		MXN		-0.66		USD
		 29	50		A0				S	4001402			H	-2,966.11		MXN		-163.80		USD
		 30	40						S	6601050			S	            29.70		MXN		             1.64		USD
		 31	50						S	3000127			H	-29.70		MXN		-1.64		USD
		 32	50		A0				S	4001402			H	-1,512.39		MXN		-83.52		USD
		 33	40						S	6601050			S	            15.21		MXN		             0.84		USD
		 34	50						S	3000127			H	-15.21		MXN		-0.84		USD
		 35	50		A0				S	4001402			H	-1,512.39		MXN		-83.52		USD
		 36	40						S	6601050			S	            15.21		MXN		             0.84		USD
		 37	50						S	3000127			H	-15.21		MXN		-0.84		USD
		 38	50		A0				S	4001402			H	-1,277.71		MXN		-70.56		USD
		 39	40						S	6601050			S	            12.86		MXN		             0.71		USD
		 40	50						S	3000127			H	-12.86		MXN		-0.71		USD
		 41	50		A0				S	4001402			H	-1,277.71		MXN		-70.56		USD
		 42	40						S	6601050			S	            12.86		MXN		             0.71		USD
		 43	50						S	3000127			H	-12.86		MXN		-0.71		USD
		 44	50		A0				S	4001402			H	-756.19		MXN		-41.76		USD
		 45	40						S	6601050			S	             7.61		MXN		             0.42		USD
		 46	50						S	3000127			H	-7.61		MXN		-0.42		USD
		 47	50		A0				S	4001402			H	-756.19		MXN		-41.76		USD
		 48	40						S	6601050			S	             7.61		MXN		             0.42		USD
		 49	50						S	3000127			H	-7.61		MXN		-0.42		USD
		 50	50		A0				S	4001402			H	-1,277.71		MXN		-70.56		USD
		 51	40						S	6601050			S	            12.86		MXN		             0.71		USD
		 52	50						S	3000127			H	-12.86		MXN		-0.71		USD
		 53	50		A0				S	4001402			H	-1,277.71		MXN		-70.56		USD
		 54	40						S	6601050			S	            12.86		MXN		             0.71		USD
		 55	50						S	3000127			H	-12.86		MXN		-0.71		USD
		 56	50		A0				S	4001402			H	-66,127.88		MXN		-3,651.84		USD
		 57	40						S	6601050			S	           661.31		MXN		            36.52		USD
		 58	50						S	3000127			H	-661.31		MXN		-36.52		USD

	3800	900012212				RV		11.04.2018			     4	2018		11.04.2018	12.04.2018		SAPBTC_APPL		0082542012
		  1	01		A0		R029		D	29060000			S	       997,295.18		MXN		        54,570.66		USD
		  2	50		A0				S	4001402			H	-8,289.66		MXN		-453.60		USD
		  3	40						S	6601050			S	            82.97		MXN		             4.54		USD
		  4	50						S	3000127			H	-82.97		MXN		-4.54		USD
		  5	50		A0				S	4001402			H	-84,554.70		MXN		-4,626.72		USD
		  6	40						S	6601050			S	           845.60		MXN		            46.27		USD
		  7	50						S	3000127			H	-845.60		MXN		-46.27		USD
		  8	50		A0				S	4000602			H	-160,420.58		MXN		-8,778.00		USD
		  9	40						S	6601050			S	         1,604.21		MXN		            87.78		USD
		 10	50						S	3000127			H	-1,604.21		MXN		-87.78		USD
		 11	50		A0				S	4000302			H	-102,332.54		MXN		-5,599.50		USD
		 12	40						S	6601050			S	         1,023.42		MXN		            56.00		USD
		 13	50						S	3000127			H	-1,023.42		MXN		-56.00		USD
		 14	50		A0				S	4000102			H	-153,249.36		MXN		-8,385.60		USD
		 15	40						S	6601050			S	         1,532.57		MXN		            83.86		USD
		 16	50						S	3000127			H	-1,532.57		MXN		-83.86		USD
		 17	50		A0				S	4000102			H	-30,649.87		MXN		-1,677.12		USD
		 18	40						S	6601050			S	           306.48		MXN		            16.77		USD
		 19	50						S	3000127			H	-306.48		MXN		-16.77		USD
		 20	50		A0				S	4000102			H	-29,246.33		MXN		-1,600.32		USD
		 21	40						S	6601050			S	           292.40		MXN		            16.00		USD
		 22	50						S	3000127			H	-292.40		MXN		-16.00		USD
		 23	50		A0				S	4000102			H	-175,477.97		MXN		-9,601.92		USD
		 24	40						S	6601050			S	         1,754.79		MXN		            96.02		USD
		 25	50						S	3000127			H	-1,754.79		MXN		-96.02		USD
		 26	50		A0				S	4000602			H	-160,420.58		MXN		-8,778.00		USD
		 27	40						S	6601050			S	         1,604.21		MXN		            87.78		USD
		 28	50						S	3000127			H	-1,604.21		MXN		-87.78		USD
		 29	50		A0				S	4001402			H	-4,835.64		MXN		-264.60		USD
		 30	40						S	6601050			S	            48.43		MXN		             2.65		USD
		 31	50						S	3000127			H	-48.43		MXN		-2.65		USD
		 32	50		A0				S	4001402			H	-6,585.69		MXN		-360.36		USD
		 33	40						S	6601050			S	            65.79		MXN		             3.60		USD
		 34	50						S	3000127			H	-65.79		MXN		-3.60		USD
		 35	50		A0				S	4001402			H	-5,388.29		MXN		-294.84		USD
		 36	40						S	6601050			S	            53.91		MXN		             2.95		USD
		 37	50						S	3000127			H	-53.91		MXN		-2.95		USD
		 38	50		A0				S	4001402			H	-1,526.35		MXN		-83.52		USD
		 39	40						S	6601050			S	            15.35		MXN		             0.84		USD
		 40	50						S	3000127			H	-15.35		MXN		-0.84		USD
		 41	50		A0				S	4001402			H	-1,526.35		MXN		-83.52		USD
		 42	40						S	6601050			S	            15.35		MXN		             0.84		USD
		 43	50						S	3000127			H	-15.35		MXN		-0.84		USD
		 44	50		A0				S	4001402			H	-1,289.51		MXN		-70.56		USD
		 45	40						S	6601050			S	            12.98		MXN		             0.71		USD
		 46	50						S	3000127			H	-12.98		MXN		-0.71		USD
		 47	50		A0				S	4001402			H	-2,579.01		MXN		-141.12		USD
		 48	40						S	6601050			S	            25.77		MXN		             1.41		USD
		 49	50						S	3000127			H	-25.77		MXN		-1.41		USD
		 50	50		A0				S	4001402			H	-763.18		MXN		-41.76		USD
		 51	40						S	6601050			S	             7.68		MXN		             0.42		USD
		 52	50						S	3000127			H	-7.68		MXN		-0.42		USD
		 53	50		A0				S	4001402			H	-763.18		MXN		-41.76		USD
		 54	40						S	6601050			S	             7.68		MXN		             0.42		USD
		 55	50						S	3000127			H	-7.68		MXN		-0.42		USD
		 56	50		A0				S	4001402			H	-1,289.51		MXN		-70.56		USD
		 57	40						S	6601050			S	            12.98		MXN		             0.71		USD
		 58	50						S	3000127			H	-12.98		MXN		-0.71		USD
		 59	50		A0				S	4001402			H	-66,106.88		MXN		-3,617.28		USD
		 60	40						S	6601050			S	           661.02		MXN		            36.17		USD
		 61	50						S	3000127			H	-661.02		MXN		-36.17		USD

	3800	900012409				RV		12.04.2018			     4	2018		12.04.2018	13.04.2018		SAPBTC_APPL		0082543695
		  1	01		A0		R029		D	29060000			S	       934,956.43		MXN		        51,123.48		USD
		  2	50		A0				S	4001402			H	-4,839.03		MXN		-264.60		USD
		  3	40						S	6601050			S	            48.46		MXN		             2.65		USD
		  4	50						S	3000127			H	-48.46		MXN		-2.65		USD
		  5	50		A0				S	4000302			H	-136,539.70		MXN		-7,466.00		USD
		  6	40						S	6601050			S	         1,365.40		MXN		            74.66		USD
		  7	50						S	3000127			H	-1,365.40		MXN		-74.66		USD
		  8	50		A0				S	4001402			H	-78,346.65		MXN		-4,284.00		USD
		  9	40						S	6601050			S	           783.47		MXN		            42.84		USD
		 10	50						S	3000127			H	-783.47		MXN		-42.84		USD
		 11	50		A0				S	4000102			H	-153,357.53		MXN		-8,385.60		USD
		 12	40						S	6601050			S	         1,533.65		MXN		            83.86		USD
		 13	50						S	3000127			H	-1,533.65		MXN		-83.86		USD
		 14	50		A0				S	4000102			H	-146,334.86		MXN		-8,001.60		USD
		 15	40						S	6601050			S	         1,463.42		MXN		            80.02		USD
		 16	50						S	3000127			H	-1,463.42		MXN		-80.02		USD
		 17	50		A0				S	4001402			H	-67,991.14		MXN		-3,717.76		USD
		 18	40						S	6601050			S	           679.96		MXN		            37.18		USD
		 19	50						S	3000127			H	-679.96		MXN		-37.18		USD
		 20	50		A0				S	4000602			H	-160,533.82		MXN		-8,778.00		USD
		 21	40						S	6601050			S	         1,605.34		MXN		            87.78		USD
		 22	50						S	3000127			H	-1,605.34		MXN		-87.78		USD
		 23	50		A0				S	4000602			H	-160,533.82		MXN		-8,778.00		USD
		 24	40						S	6601050			S	         1,605.34		MXN		            87.78		USD
		 25	50						S	3000127			H	-1,605.34		MXN		-87.78		USD
		 26	50		A0				S	4001402			H	-5,530.35		MXN		-302.40		USD
		 27	40						S	6601050			S	            55.23		MXN		             3.02		USD
		 28	50						S	3000127			H	-55.23		MXN		-3.02		USD
		 29	50		A0				S	4001402			H	-4,193.85		MXN		-229.32		USD
		 30	40						S	6601050			S	            41.88		MXN		             2.29		USD
		 31	50						S	3000127			H	-41.88		MXN		-2.29		USD
		 32	50		A0				S	4001402			H	-4,193.85		MXN		-229.32		USD
		 33	40						S	6601050			S	            41.88		MXN		             2.29		USD
		 34	50						S	3000127			H	-41.88		MXN		-2.29		USD
		 35	50		A0				S	4001402			H	-2,291.15		MXN		-125.28		USD
		 36	40						S	6601050			S	            22.86		MXN		             1.25		USD
		 37	50						S	3000127			H	-22.86		MXN		-1.25		USD
		 38	50		A0				S	4001402			H	-2,291.15		MXN		-125.28		USD
		 39	40						S	6601050			S	            22.86		MXN		             1.25		USD
		 40	50						S	3000127			H	-22.86		MXN		-1.25		USD
